,time_range,year,area_naive,area_tpi,sst_mean_overall,sst_mean_coast,sst_mean_upwelling_naive,sst_mean_upwelling_tpi,chl_mean_overall,chl_mean_coast,chl_mean_upwelling_naive,chl_mean_upwelling_tpi
133,2017112520171202,2017,16018.022399999998,11755.1616,15.404824932548962,15.470748606013176,12.569506563168451,13.810381639454038,1.057660577925902,1.259185395629861,1.3573008962055861,3.872876776363277
134,2017120320171210,2017,24651.392,4865.6896,15.195238238961265,15.035712426647418,12.557761614370257,13.497189541025037,0.8508760527351651,1.057458679764803,1.966137074534016,2.916078252503296
135,2017121120171218,2017,41616.716799999995,1507.072,14.817121614437072,14.751458002041117,12.339016041723541,12.465990307939727,0.7373744462666151,0.857003427759853,1.546759846281587,1.612680282665738
136,2017121920171226,2017,77140.55679999999,5899.1104,13.992823033363821,13.995662305888189,11.985429863948006,11.963160474955767,0.7055741552899201,0.741338728913535,1.013692940871616,0.8490111884701861
137,2017122720171231,2017,44932.2752,5985.2288,14.44452323794686,14.371065750191267,11.768171507402437,11.177656447338613,0.7681458261121641,0.90191988034069,2.224003936228326,1.224763577530015
138,2018010120180108,2018,76817.61279999999,7664.5376,13.845918768142699,13.462685571144513,12.277947142081928,11.827892812099703,0.585918611248568,0.7769174365967061,1.082784633354589,1.431235263269562
139,2018010920180116,2018,104031.0272,21357.3632,13.549751577133222,13.610987288041192,12.139301541732555,11.92964805468522,0.7487375090993891,0.859129789339742,0.9302925299339241,1.068387797965395
140,2018011720180124,2018,116410.54719999999,3573.9136,13.58580054641393,13.430034663817239,12.33723840102173,11.88671283246097,0.696951697291034,0.8969239921657111,0.9813255331723051,1.050846501642518
141,2018012520180201,2018,115183.35999999999,6997.12,13.608365760970221,13.413217141996183,12.003309262134,10.92937255244668,0.6501277388555651,0.8581460399695201,1.051099548223562,1.029638276186306
142,2018020220180209,2018,62349.7216,495.1808,14.176726828121327,14.040344336655298,11.967577187925107,11.406760394957232,0.82726680532936,1.093457151424,1.050300633283805,2.239549406263727
143,2018021020180217,2018,111178.8544,387.53279999999995,13.76659407883332,13.568699823330446,12.010529987689525,11.508462973178343,0.598260336316202,0.793599618071768,1.012954338264827,1.114171054402772
144,2018021820180225,2018,193400.3968,1485.5423999999998,12.730883045692064,12.4492134764578,11.447185214658731,10.255213213233528,0.5423161946275751,0.6779696513231961,0.722064637128458,1.028314432256956
145,2018022620180305,2018,240098.0992,2755.7888,12.363207342225348,12.156578140787767,11.577944966862647,10.480097151898159,0.585005399000988,0.722029883869266,0.693646496512619,1.906205284104229
146,2018030620180313,2018,164012.49279999998,11539.8656,12.973242676666901,12.765054105247605,11.680822773740898,11.51609407588634,0.661979454924648,0.9035334922399291,0.8512899551510931,0.8401115031354761
147,2018031420180321,2018,185692.8,1011.8911999999999,12.95175059179863,12.751973692541485,11.767438080235344,10.202056542343906,0.516780155753636,0.6838507446391671,0.6868282760924941,1.449153323270591
148,2018032220180329,2018,148037.52959999998,861.184,13.088039637513461,12.972802462635986,11.688349918969749,13.123477617798734,0.7085157025012041,0.987117118932855,1.035689144655315,3.051661775118407
149,2018033020180406,2018,165907.09759999998,9839.027199999999,13.008835130600254,12.641565280233314,11.568681581567422,10.601345572533162,1.062896277965369,1.7314069566097552,2.123240838973806,2.302204380533705
150,2018040720180414,2018,139231.9232,3638.5024,13.691215830394558,13.417375624217742,12.03046331297905,12.60645766904336,1.03666886253522,1.539825279950074,1.535239016207938,3.583997640608251
151,2018041520180422,2018,155336.06399999998,6394.2912,13.568984280560558,13.17123828121662,12.095973985022773,11.693178698822178,1.154198984850325,1.824658394366436,2.275434365908797,5.173296002334356
152,2018042320180430,2018,121103.99999999999,5274.7519999999995,14.144305011580771,13.599625719058894,12.052957716111544,11.407283951192033,0.7761881178240441,1.152517542869991,1.9269438811146582,5.505545352218279
153,2018050120180508,2018,69303.7824,19742.6432,14.552459133770746,13.985927801002038,12.158227318771216,12.022612762028706,1.051271352646723,1.503101835464864,3.77766453721097,4.485321511183242
154,2018050920180516,2018,74234.06079999999,20991.359999999997,14.69039997458487,14.449392718266202,12.282508637795894,12.43969925993881,1.269273498369114,1.531124650474025,3.204607754375693,4.731707562621544
155,2018051720180524,2018,107583.41119999999,20044.0576,14.030322645802336,13.440794497472016,11.762835171147932,10.859841067024579,0.960266337584956,1.6975125666645452,3.195411580995244,4.483193509962998
156,2018052520180601,2018,111308.03199999999,7879.833599999999,14.13038290723537,13.74143862326395,12.030368886648523,11.67602477291564,1.205686628132411,1.533160380197752,2.4286792260307,2.144803504520384
157,2018060220180609,2018,82243.072,17654.271999999997,14.3913637617269,14.009618728912649,12.008202015726228,11.527219144793444,1.593562268824562,2.467512762209792,5.591069733475827,4.3212309672453095
